Game_Number,Hybrid_codestral-22b_CSS_CoT,Hybrid_codestral-22b_CSS_ZeroShot,Hybrid_codestral-22b_Random_CoT,Hybrid_codestral-22b_Random_ZeroShot,Hybrid_codestral-22b_VOI_CoT,Hybrid_codestral-22b_VOI_ZeroShot,Hybrid_gemma-27b_CSS_CoT,Hybrid_gemma-27b_CSS_ZeroShot,Hybrid_gemma-27b_Random_CoT,Hybrid_gemma-27b_Random_ZeroShot,Hybrid_gemma-27b_VOI_CoT,Hybrid_gemma-27b_VOI_ZeroShot,Hybrid_granite-8b_CSS_CoT,Hybrid_granite-8b_CSS_ZeroShot,Hybrid_granite-8b_Random_CoT,Hybrid_granite-8b_Random_ZeroShot,Hybrid_granite-8b_VOI_CoT,Hybrid_granite-8b_VOI_ZeroShot,Hybrid_llama-3.1-70b_CSS_CoT,Hybrid_llama-3.1-70b_CSS_ZeroShot,Hybrid_llama-3.1-70b_Random_CoT,Hybrid_llama-3.1-70b_Random_ZeroShot,Hybrid_llama-3.1-70b_VOI_CoT,Hybrid_llama-3.1-70b_VOI_ZeroShot,Hybrid_llama-3.1-8b_CSS_CoT,Hybrid_llama-3.1-8b_CSS_ZeroShot,Hybrid_llama-3.1-8b_Random_CoT,Hybrid_llama-3.1-8b_Random_ZeroShot,Hybrid_llama-3.1-8b_VOI_CoT,Hybrid_llama-3.1-8b_VOI_ZeroShot,Hybrid_llama-3.3-70b_CSS_CoT,Hybrid_llama-3.3-70b_CSS_ZeroShot,Hybrid_llama-3.3-70b_Random_CoT,Hybrid_llama-3.3-70b_Random_ZeroShot,Hybrid_llama-3.3-70b_VOI_CoT,Hybrid_llama-3.3-70b_VOI_ZeroShot,Hybrid_mistral-7b_CSS_CoT,Hybrid_mistral-7b_CSS_ZeroShot,Hybrid_mistral-7b_Random_CoT,Hybrid_mistral-7b_Random_ZeroShot,Hybrid_mistral-7b_VOI_CoT,Hybrid_mistral-7b_VOI_ZeroShot,Hybrid_mistral-small_CSS_CoT,Hybrid_mistral-small_CSS_ZeroShot,Hybrid_mistral-small_Random_CoT,Hybrid_mistral-small_Random_ZeroShot,Hybrid_mistral-small_VOI_CoT,Hybrid_mistral-small_VOI_ZeroShot,Hybrid_nemotron-8b_CSS_CoT,Hybrid_nemotron-8b_CSS_ZeroShot,Hybrid_nemotron-8b_Random_CoT,Hybrid_nemotron-8b_Random_ZeroShot,Hybrid_nemotron-8b_VOI_CoT,Hybrid_nemotron-8b_VOI_ZeroShot,PureLLM_codestral-22b_CoT,PureLLM_codestral-22b_ZeroShot,PureLLM_gemma-27b_CoT,PureLLM_gemma-27b_ZeroShot,PureLLM_gpt-oss-120b_CoT,PureLLM_gpt-oss-120b_ZeroShot,PureLLM_gpt-oss-20b_CoT,PureLLM_gpt-oss-20b_ZeroShot,PureLLM_granite-8b_CoT,PureLLM_granite-8b_ZeroShot,PureLLM_llama-3.1-70b_CoT,PureLLM_llama-3.1-70b_ZeroShot,PureLLM_llama-3.1-8b_CoT,PureLLM_llama-3.1-8b_ZeroShot,PureLLM_llama-3.3-70b_CoT,PureLLM_llama-3.3-70b_ZeroShot,PureLLM_mistral-7b_CoT,PureLLM_mistral-7b_ZeroShot,PureLLM_mistral-small_CoT,PureLLM_mistral-small_ZeroShot,PureLLM_nemotron-8b_CoT,PureLLM_nemotron-8b_ZeroShot,Pure_Algo_css,Pure_Algo_css_then_voi,Pure_Algo_css_voi_alternating,Pure_Algo_pure_random,Pure_Algo_random,Pure_Algo_voi,Pure_Algo_voi_css_alternating,Pure_Algo_voi_then_css
11,0.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,3.0,3.0,,5.0,4.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,5.0,2.0,2.0,3.0,4.0,4.0,2.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,2.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,3.0,0.0,2.0,4.0,0.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,4.0,5.0,0.0,0.0,3.0
12,4.0,2.0,4.0,4.0,0.0,2.0,1.0,,2.0,1.0,0.0,,3.0,2.0,1.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,3.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,4.0,0.0,,3.0,0.0,3.0,2.0,4.0,,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,2.0,0.0,1.0,2.0,5.0,3.0,1.0,2.0,1.0
13,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,3.0,2.0,5.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,,5.0,0.0,0.0,,0.0,2.0,0.0,0.0,,2.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,0.0,,0.0,0.0,4.0,0.0,2.0,4.0,2.0,3.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,0.0,2.0,0.0
14,3.0,4.0,4.0,4.0,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,2.0,0.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,5.0,0.0,3.0,5.0,1.0,2.0,2.0,3.0,1.0,0.0,5.0,1.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,0.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,,4.0,3.0,3.0,1.0,0.0,0.0,,5.0,4.0,3.0,1.0,1.0
15,2.0,0.0,,3.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,4.0,0.0,1.0,2.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,3.0,2.0
16,3.0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,,5.0,1.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,,3.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,3.0,4.0,4.0,0.0,2.0,0.0,3.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,,1.0,2.0,0.0,4.0,1.0,4.0,0.0,4.0,0.0,,2.0,0.0,5.0,0.0,3.0,0.0,3.0
17,3.0,2.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,1.0,4.0,5.0,2.0,0.0,1.0,0.0,3.0,4.0,2.0,1.0,4.0,1.0,3.0,2.0,1.0,0.0,5.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,0.0,1.0,2.0,3.0,3.0,4.0,0.0,5.0,4.0,0.0,3.0,0.0,4.0,4.0,5.0,3.0,5.0,0.0,3.0,2.0,0.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,3.0,3.0,5.0,4.0,0.0,0.0,3.0
18,1.0,1.0,3.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,,2.0,2.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,5.0,3.0,4.0,0.0,,1.0,2.0,3.0,0.0,2.0,,2.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0
19,3.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,1.0,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,1.0,2.0,2.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,1.0,,4.0,,1.0,2.0,2.0,0.0,4.0,4.0,1.0,0.0,1.0,4.0,4.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,0.0,0.0,,4.0,4.0,2.0,2.0,3.0
20,1.0,,2.0,3.0,3.0,0.0,0.0,,3.0,,1.0,,3.0,3.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,3.0,4.0,4.0,5.0,0.0,0.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0,5.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,,4.0,,3.0,2.0,4.0,3.0,4.0,4.0,5.0,0.0,4.0,2.0,4.0,5.0,,5.0,5.0,0.0,2.0,0.0,0.0,5.0,3.0,2.0,0.0,2.0
21,2.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,4.0,3.0,2.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,1.0,4.0,2.0,0.0,0.0,4.0,4.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,2.0,3.0,3.0,0.0,3.0,5.0,3.0,0.0,3.0,0.0,2.0,3.0,4.0,3.0,3.0,2.0,4.0,0.0,3.0,4.0,0.0,2.0,3.0,4.0,2.0,,5.0,2.0,0.0,2.0,2.0
22,5.0,,0.0,2.0,5.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,0.0,4.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,0.0,3.0,0.0,2.0,4.0,4.0,4.0,2.0,0.0,4.0,5.0,4.0,5.0,4.0,0.0,0.0,5.0,4.0,5.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,4.0,2.0,0.0,0.0,4.0,3.0,5.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,4.0,4.0,0.0,5.0,4.0,4.0,5.0,0.0,0.0,3.0,5.0,5.0,5.0,5.0,2.0
23,1.0,1.0,3.0,3.0,0.0,5.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,,1.0,2.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,4.0,3.0,,5.0,,1.0,,1.0,0.0,0.0,1.0,2.0,4.0,1.0,,1.0,4.0,1.0,1.0,1.0,1.0
24,2.0,1.0,0.0,1.0,1.0,1.0,3.0,,4.0,1.0,0.0,,3.0,2.0,1.0,4.0,1.0,,1.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,,0.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,,,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,3.0,5.0,1.0,4.0,2.0,3.0,0.0,,0.0,0.0,1.0,,1.0,4.0,1.0,0.0,1.0,4.0,4.0,0.0,2.0,2.0,5.0,3.0,2.0,0.0,0.0
25,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,,2.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,5.0,1.0,1.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,0.0,,0.0,2.0,3.0,,1.0,4.0,2.0,1.0,4.0,3.0,5.0,2.0,3.0,1.0,1.0
26,4.0,4.0,2.0,5.0,3.0,0.0,1.0,1.0,3.0,1.0,2.0,0.0,5.0,2.0,0.0,1.0,5.0,1.0,3.0,4.0,0.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,4.0,0.0,2.0,4.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,2.0,0.0,1.0,4.0,4.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,4.0,2.0,3.0,0.0,5.0,4.0,4.0,0.0,5.0,5.0,2.0,0.0,1.0,0.0
27,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,1.0,3.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0,0.0,0.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,4.0,4.0,3.0,0.0,0.0,5.0,4.0,3.0,1.0,4.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,3.0,3.0,4.0,4.0,4.0,0.0,5.0,4.0,5.0,4.0,0.0,3.0,0.0,5.0,1.0,3.0,3.0,4.0,4.0,3.0,1.0,4.0,3.0,4.0,0.0,3.0,1.0,3.0
28,0.0,3.0,4.0,0.0,5.0,3.0,2.0,0.0,3.0,2.0,2.0,0.0,4.0,2.0,5.0,0.0,3.0,4.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,5.0,3.0,5.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,3.0,4.0,0.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,0.0,3.0,2.0,0.0,0.0,3.0,2.0,2.0,3.0,2.0,0.0,0.0,4.0,4.0,2.0,0.0,0.0,3.0,5.0,0.0,2.0,2.0,2.0
29,0.0,2.0,5.0,5.0,5.0,5.0,2.0,0.0,,0.0,0.0,0.0,2.0,4.0,0.0,4.0,4.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,0.0,4.0,4.0,,5.0,0.0,5.0,0.0,4.0,0.0,4.0,0.0,2.0,2.0,4.0,5.0,3.0,5.0,4.0,0.0,4.0,0.0,4.0,5.0,0.0,0.0,2.0,0.0,0.0,,3.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,5.0,5.0,2.0,0.0,0.0,4.0
30,0.0,3.0,0.0,0.0,1.0,2.0,4.0,1.0,3.0,1.0,4.0,0.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,3.0,4.0,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,3.0,4.0,1.0,0.0,4.0,0.0,3.0,0.0,4.0,1.0,0.0,3.0,4.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,1.0,0.0,1.0,5.0,1.0,,0.0,1.0
31,0.0,5.0,1.0,5.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,5.0,3.0,0.0,4.0,1.0,0.0,0.0,5.0,1.0,4.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,2.0,0.0,3.0,4.0,0.0,5.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,0.0,2.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,3.0
